0	-0.17050436 -0.21780458 0.073338084 -0.23446716 -0.14534186 -0.12950549 0.011364727 -0.040518377 -0.04698845 0.14787978 0.20975494 -0.03154273 -0.014614195 0.069371395 0.13760282 0.11158717 0.029434325 -0.17010692 -0.04398564 0.0750142 -0.035601407 0.05644341 0.021101288 -0.11457908 0.054562178 0.10801228 0.069713935 -0.010005978 0.13696082 0.11209785 -0.22802348 -0.21526538 -0.035389703 -0.09774357 0.087090604 0.00073740934 -0.035665814 -0.02092276 0.18883969 -0.015600844 0.030771933 -0.2495694 -0.27554414 0.11255486 0.018674375 0.011374652 0.0029916004 0.25941545 0.04211633 -0.2694781 0.028777305 0.18773726 -0.041358817 0.05173091 0.14824723 0.04650146 0.1623701 -0.022170212 -0.15134476 0.083493456 -0.0010668493 -0.10852511 0.11776171 -0.065678164 0.23351347 -0.06351037 0.08526142 -0.19295691 0.2571216 -0.06897454 0.16362044 -0.10499773 -0.12562777 0.12877794 -0.08506564 -0.17602384 -0.14775763 -0.10463172 -0.0032624023 0.020402241 0.014280291 -0.11608191 -0.010953211 -0.18458687 -0.10807141 -0.09497859 -0.25448284 0.09466236 0.1308677 0.21465075 0.044167828 -0.015325566 -0.033644207 0.14241695 0.184623 -0.12756003 0.096500024 0.13288814 0.06690425 -0.057872504 -0.15235905 0.17029196 0.15546474 0.06490317 0.0011833657 0.0046361927 0.02088224 -0.09310828 -0.0839537 -0.2680608 -0.13954453 -0.16177431 0.06204029 -0.19198729 -0.073622815 0.076790765 -0.14522211 -0.0015865669 0.1885549 -0.030683003 -0.08630449 -0.115820825 -0.12757602 0.15410969 -0.13298796 0.15755981 0.12417173 -0.033694547
1	-0.27424476 -0.1340038 -0.035996296 -0.15249352 -0.20658442 -0.010942987 -0.0070031467 -0.026906632 -0.10722688 -0.035641246 0.15302503 -0.06458832 -0.24860463 0.15607245 0.30195683 0.018997572 -0.11838506 -0.00015314863 -0.009027054 0.18380634 -0.18660137 0.10782485 -0.042162433 0.038475364 0.10929973 0.038271695 0.18801689 -0.026562128 0.06301555 -0.096320085 -0.048286214 -0.17935151 -0.012650209 -0.03181542 -0.11253768 0.012750915 0.0021677655 -0.10543821 0.30997577 -0.06646495 0.12778556 -0.36895248 -0.32959795 0.039656006 0.11272974 0.08727612 -0.039185543 -0.058440477 -0.0029160609 -0.05456677 0.028208848 0.188586 -0.20537686 0.035297595 0.29847467 0.06493457 0.30683008 -0.30778915 -0.07817227 0.27238515 0.022010237 -0.028616386 0.17368107 0.18194336 0.37278557 -0.0013012821 0.11335025 -0.16608521 0.13409391 -0.035341796 0.09111052 -0.20035926 -0.024611749 0.2508455 -0.17303623 0.13360777 -0.068004794 -0.33564034 0.13054799 -0.0017784751 0.028127793 0.25546065 -0.13570632 -0.24800867 0.08118703 -0.13098468 -0.30896485 0.14563383 0.19745786 0.01336464 0.089673676 0.017116403 -0.17320207 0.3455308 0.12081041 -0.08344462 -0.07594067 0.21186595 0.10294243 0.123693585 -0.038666863 0.14114554 0.098533295 0.0466397 0.035980202 0.1615286 -0.05172856 0.10477115 -0.18405698 -0.08471245 -0.24641007 0.006524463 0.12536699 -0.14317101 -0.0459351 0.025531905 -0.11815421 0.054702614 0.0727529 -0.07785682 0.14336576 -0.26099718 -0.21648659 0.046793886 -0.20988938 0.23191845 0.1547624 -0.2370297
2	-0.11499607 -0.14796865 0.057545133 -0.10598417 -0.24421509 -0.156168 0.010273334 -0.11136481 6.16474e-05 0.13804227 -0.03767276 0.105639584 -0.2025943 0.26896814 0.35541493 0.4054363 -0.024687102 0.012447747 -0.10512742 0.22577484 -0.19237171 0.11535332 0.05366016 0.19993606 0.10387576 0.029067805 0.028990936 0.010089991 0.051617436 0.13678505 -0.21145664 -0.112204716 -0.04380762 0.13203585 0.010450799 -0.019074868 -0.037602276 0.0711866 0.092431515 -0.11288186 0.07236332 -0.15684803 -0.21281442 0.13850154 0.25357786 0.010432228 -0.10335322 0.09177157 0.04466657 -0.06727127 0.06451028 0.12931457 -0.045858484 0.16439241 0.08082859 -0.004564442 0.17260215 -0.13947903 -0.016465211 0.17985503 0.05219725 -0.097883984 0.0921924 -0.11744729 0.18588841 -0.048170663 0.25326547 -0.15600719 0.05427005 0.068110354 0.086682975 -0.21576434 0.019323176 -0.030722234 0.0006687105 -0.028675655 -0.11904016 -0.122510225 0.23176913 0.13929573 -0.044188768 0.08399623 -0.068152934 -0.3449895 0.15667088 -0.08675216 -0.06488673 0.129775 0.056665715 0.15231611 -0.09964202 -0.07724135 -0.20445536 0.0791942 0.0695609 0.11456604 0.18795346 0.15495393 -0.041628435 0.15000652 0.105938174 0.10294427 0.10334979 -0.027506305 0.049850423 -0.014554896 -0.06308565 0.053465404 -0.115486234 -0.032443095 -0.1940339 -0.19428794 0.037667315 -0.018451171 -0.09729189 0.022426276 -0.09688671 0.047797773 0.13156511 -0.24835452 0.18920371 -0.19340223 -0.28298604 0.019073933 -0.09765671 0.17282474 -0.070824124 0.014709398
3	-0.2264618 -0.16926715 0.058409456 -0.045446787 -0.2801037 0.010583466 0.06772919 -0.095112324 -0.16732302 -0.037097003 0.16854 0.076950535 -0.0741545 0.18563502 0.27912572 0.27045763 -0.14191407 -0.12572259 -0.017572213 0.22577734 0.057148334 0.05972528 -0.043908373 -0.051923282 0.08839871 0.08827009 0.057278592 -0.00879896 0.19934277 0.15880488 -0.3375196 -0.28365794 -0.15584601 0.10480894 0.07331885 -0.09136958 -0.069839425 -0.0017489968 0.17049956 -0.025217764 0.15016007 -0.28867632 -0.24936624 0.04796824 0.019660125 0.0762181 0.016948285 0.046420712 -0.11640482 -0.13984108 0.12534256 0.16907701 -0.13800833 -0.004513494 0.2065047 0.16231182 0.13284092 -0.14714316 -0.17282313 0.2488206 0.04375127 -0.006104307 0.11937606 -0.034475572 0.17249739 -0.14744224 -0.041096617 -0.09921341 0.11955554 0.06488662 0.13243844 -0.116539195 -0.13600329 0.14181662 -0.1403959 0.011556147 -0.13223231 -0.22226074 0.22832821 0.18232301 -0.07178491 0.026772933 0.001573297 -0.28329274 0.044314053 -0.07816212 -0.15659313 0.028478684 0.090228856 0.26316017 -0.01826957 -0.06984072 -0.2564731 0.106392406 0.14452408 -0.11015883 0.13121293 0.07613833 0.040508382 -0.022757417 -0.08120793 0.17651515 0.1893327 -0.010454124 0.051143132 0.088028975 -0.053528305 -0.017177083 -0.21688902 -0.1091021 -0.42016357 -0.1561158 0.06413466 -0.030891629 -0.07263273 -0.09274919 -0.15386514 0.069990635 0.19671236 -0.20168135 0.14949845 -0.14433964 -0.18437043 0.120592244 -0.10676817 0.2179643 0.16168174 -0.17183104
4	0.060896806 -0.35119957 0.2140089 -0.19975005 -0.20485152 -0.12501517 0.1266469 0.037784398 -0.11322514 0.0130585795 0.09906139 0.13916261 0.29456007 0.07094293 0.121260844 0.025351377 0.099736705 0.026124878 -0.07411323 -0.015459106 -0.053623725 0.14369345 -0.083157405 -0.13209537 -0.02066346 0.15006614 0.051747244 0.01692893 0.2127827 0.019083913 -0.40373003 -0.055639923 -0.130705 -0.122829795 -0.02635107 0.14607121 0.042761836 -0.07044412 0.29058847 -0.12988132 0.08501519 -0.31472182 -0.06451243 0.11509031 0.052863542 0.009290775 -0.024475418 0.4506962 0.11519218 -0.15747645 0.27045017 0.22759749 -0.081982 0.3191672 0.1694506 0.20047031 0.20832884 -0.022800645 -0.29012573 -0.07737201 0.023457903 0.10336565 0.060464196 0.033229977 0.09277327 -0.1515877 0.021862008 -0.12127388 0.32662186 -0.32242873 0.15991893 -0.0777948 -0.065280244 0.17985106 0.06405066 -0.2972991 -0.16282228 -0.1931551 -0.07955356 0.10105394 0.039463844 -0.044662535 -0.014376088 -0.050351985 -0.14751157 0.033553466 -0.399956 0.23830348 -0.0064858724 0.3727113 -0.16071112 -0.13458586 0.014776735 0.12071762 0.25059223 -0.20111077 0.0385566 0.11240337 0.07849757 0.05201315 -0.2811942 0.14238177 -0.014947791 0.10539595 0.077206954 -0.03380537 0.059159543 -0.25569525 0.11785595 -0.35728115 0.009306792 0.016605485 0.24494652 -0.20065564 0.09039013 -0.10587937 0.16589125 -0.11879962 0.19365805 0.050264604 -0.04774553 0.014700102 -0.16315827 0.28016043 -0.16690665 0.17459574 -0.0986828 -0.023179742
5	-0.007710034 -0.21057917 0.059520617 -0.16436295 -0.19297777 -0.0858326 0.12161064 -0.0421372 0.035548594 -0.17237192 0.055917528 0.16746123 0.30530575 0.09151186 0.16120252 0.015023905 0.09793084 -0.08687648 -0.13580202 0.01425692 -0.23010726 0.1476428 -0.13713709 -0.21233459 -0.17151476 0.11775506 0.025721518 0.18659054 0.24543051 0.07552669 -0.25996125 -0.13298598 0.053712126 -0.023313388 -0.017159695 0.13739982 -0.0051510385 -0.11460676 0.22840412 -0.16483058 0.00092714396 -0.30579934 -0.12153325 0.10421867 0.12026523 -0.29750133 0.06669664 0.36276135 0.13150361 -0.19940707 0.21854654 0.19173197 0.008244356 0.12349212 0.0941316 0.24286658 0.29349914 -0.0033755472 -0.21044523 -0.08474778 -0.08410104 0.029830746 -0.0975083 0.10554521 0.13969971 -0.07604213 -0.15930513 -0.02857002 0.3623028 -0.12882936 0.078286834 -0.27036658 -0.083921805 0.20608011 0.06848249 -0.2970905 -0.14645167 -0.022323174 -0.11792328 0.057056084 0.007174235 -0.10211275 0.07830665 -0.29740193 -0.044469055 0.012672179 -0.3279192 0.20197594 0.16149896 0.23001535 -0.12665707 -0.14058253 0.15216321 0.027374363 0.2258373 -0.18897276 -0.0094156945 -0.018619541 -0.098840445 -0.0048988382 -0.22624746 0.27187434 -0.045884505 0.055319756 -0.052840225 2.8126786e-05 0.06791132 -0.12393264 0.24102792 -0.3977815 -0.05860199 -0.04599567 0.30965582 -0.26182073 0.08732763 -0.12257851 0.021938967 -0.09447646 0.16796723 0.012534247 -0.064349204 -0.13359664 -0.11644277 0.28891513 -0.20329778 0.018900337 -0.15906586 0.10754228
6	0.015875561 -0.2594594 0.08610939 -0.09677655 -0.19686757 -0.1462737 0.20939736 -0.010858995 -0.054351937 -0.13026409 0.009689205 0.08467798 0.3267381 0.13574302 0.2185761 0.006248892 0.012664167 -0.05504909 -0.13008234 -0.04544787 -0.14237449 0.21402816 -0.11577181 -0.14731383 -0.059403762 0.14392245 0.043088052 0.118482046 0.24276903 0.11126979 -0.22185177 -0.08037068 -0.016696801 0.10056494 -0.007581725 0.104062505 -0.012344387 -0.023012895 0.21541335 -0.12446542 0.039397683 -0.36675835 -0.07526749 0.09958255 0.037771255 -0.28045136 0.038332622 0.42748418 0.1768992 -0.19601376 0.24769372 0.2519101 0.062399816 0.13098158 0.17873491 0.19764009 0.25348067 0.056191944 -0.26036668 -0.035665467 -0.054427974 -0.08663596 -0.05780489 0.098756276 0.13386942 -0.050586488 -0.17881584 -0.06969573 0.31054416 -0.10428782 0.052325405 -0.21226092 -0.039391402 0.18701649 0.07439749 -0.3274532 -0.076183066 -0.01040803 -0.1321564 -0.024417726 0.027862739 -0.06984497 0.2270861 -0.30439484 0.05004582 0.038185902 -0.36423597 0.2367174 0.09220555 0.28172496 -0.13473752 -0.14883131 0.11479771 0.0008154636 0.26132277 -0.1569355 -0.023588574 0.017702077 0.012531741 -0.06031067 -0.17964937 0.24511552 0.060643695 -0.061690066 0.056291126 0.10096158 0.027779898 -0.12462687 0.23125796 -0.37329027 -0.11392755 0.003704772 0.3203018 -0.21579829 0.09476434 -0.11148875 0.14000875 -0.037932795 0.27520013 -0.011293846 -0.030683987 -0.14375544 -0.21062921 0.20851856 -0.27158514 0.08528817 -0.15997007 0.08301876
7	-0.24043475 -0.20143884 0.049304675 -0.20151593 -0.23056851 -0.057388555 0.026941005 -0.031855706 -0.13649027 0.013899893 0.19685225 -0.020487355 -0.0028174513 0.22874412 0.3769085 0.34424236 -0.17859997 0.03047337 0.039570425 0.23438269 -0.087071374 0.110002734 0.02413779 0.0014983148 0.16829737 0.10385292 0.20598374 -0.027576959 0.12167937 0.034867644 -0.23801602 -0.13981469 -0.004978738 0.17231332 0.08216734 -0.018093284 -0.084367484 0.058360722 0.27553147 -0.055640347 0.09159942 -0.34958094 -0.18449195 0.083233014 -0.0017602466 0.14571719 -0.10536505 0.14564766 -0.037933215 -0.0852693 0.07401412 0.2339799 -0.10618337 -0.07595096 0.17305407 0.07358318 0.26031706 -0.14817151 -0.10573646 0.18336084 0.052696127 0.024757387 0.13781035 0.081029885 0.22957096 -0.07073266 0.06970679 -0.1615519 0.068089545 -0.04842519 0.15005767 -0.21182266 -0.038344484 0.036003537 -0.045153752 0.027488716 -0.060584057 -0.2391068 0.3119747 0.15458983 -0.121130906 0.034608677 0.06094524 -0.279641 0.20070064 -0.14338464 -0.24193312 0.069796376 0.10921637 0.095675215 0.011980184 -0.00046894682 -0.29704958 0.14868158 0.14792272 -0.041708373 0.06325923 0.20994605 0.13608198 0.10383142 -0.06033212 0.1549705 0.08289741 -0.031598054 0.10021833 0.014591465 0.019853506 0.01541674 -0.22305119 -0.05707308 -0.3526499 -0.04140384 0.1580701 0.09895221 -0.034568273 0.02814155 -0.015205274 0.084733546 0.24788985 -0.21330422 0.1587694 -0.17404057 -0.27927184 0.026220432 -0.112449415 0.27597877 0.06699073 -0.11186097
8	-0.17268527 0.10405709 0.088890694 0.17606516 -0.048880193 -0.33564427 -0.027392454 -0.047834132 0.09443135 0.08523996 0.09702989 0.11223273 -0.13383901 0.10843012 0.14911908 0.15051723 -0.20354272 0.16696262 -0.2371474 0.14242561 -0.23321769 0.07542521 0.105506934 0.27800095 -0.05742453 -0.1493731 0.15972905 0.14745314 -0.006293505 -0.15787925 0.16698489 0.06620928 -0.12755938 0.08205253 -0.25840557 0.2467134 0.06891736 0.16726114 0.11756371 -0.10296638 -0.06241624 -0.17880724 -0.21620116 0.037071418 0.09988843 -0.1971545 -0.2373046 0.121106096 0.3053498 -0.11295206 0.08769349 0.001816376 -0.069027506 0.33289084 -0.09907166 0.070220344 0.08188832 -0.0793252 -0.09032735 0.09923731 0.05548982 -0.2868713 0.019278215 -0.0028221987 0.27194363 -0.19502424 0.18686022 -0.04352278 0.1883335 -0.10892656 0.11360363 -0.12856771 -0.086281225 0.09583005 0.046894263 -0.016170843 -0.15424581 -0.26608744 0.11482831 -0.10005558 0.2105618 0.0993269 -0.13786113 -0.17507873 0.101070404 0.054430142 -0.16407317 0.31615326 -0.07011147 0.0790501 0.0050568082 -0.087845266 -0.19829376 -0.004794635 0.05891891 -0.051976424 0.022726491 0.12225861 -0.2407253 0.07856927 -0.2775641 0.04685923 0.090594344 -0.03435036 0.12976964 -0.011164558 -0.28060707 -0.048901267 0.059132647 -0.052410286 -0.080739826 -0.02197162 -0.12723227 -0.018366117 -0.13280159 -0.042008694 0.054725077 0.084609985 0.20394169 -0.2864827 0.18548954 -0.32879907 -0.2308165 0.005764296 -0.17669602 0.048287507 -0.032994352 0.0045699053
9	-0.16520423 0.07498711 0.06123436 0.07020615 -0.09606023 -0.055601384 0.0436254 -0.06865522 -0.021599514 -0.10125981 0.012017349 0.12621245 -0.17347103 0.091997914 -0.06517643 0.326468 -0.2384345 0.24987616 -0.041971136 0.48394173 -0.45904905 0.17623813 -0.05625102 0.1477735 0.017299486 -0.1965903 -0.17312881 0.27244437 -0.18263808 -0.029306859 -0.027278597 -0.048593435 0.08426909 0.008933378 -0.04559848 0.0047453563 -0.005231322 0.09411427 0.04030681 0.30588055 -0.016886821 -0.08321418 0.089501634 0.282816 0.18270436 -0.17368715 -0.07421119 -0.055716906 0.08940782 0.011656654 -0.0021932037 -0.1351688 -0.12490761 0.37553552 0.12938313 -0.015652703 0.14153706 0.16511945 0.041216042 -0.022926712 0.04334296 -0.11460545 -0.13114311 -0.23375845 0.21591261 -0.24111927 0.3289831 -0.08536325 0.18673901 -0.023802271 0.17876568 -0.07402667 -0.12877695 0.18826555 0.018652681 -0.17569865 -0.0933721 0.12994024 0.31189296 0.25042337 0.10584664 -0.06279863 0.054370183 -0.14449273 0.2040531 -0.22576071 -0.031170554 0.033002514 -0.099822395 0.20190193 -0.025081415 -0.12888463 -0.11876214 0.30806074 -0.06584124 0.14791942 0.26678705 0.019300543 -0.10014241 0.086259425 0.08032661 0.28181276 0.1455525 -0.16405182 0.17349802 0.025090333 -0.21387058 -0.008535175 0.024911514 -0.21803872 -0.019480515 -0.31246924 -0.015042306 0.009396483 0.012899985 0.052722126 -0.15942475 -0.18269514 -0.057697367 -0.30445695 -0.0022625625 -0.24334478 -0.3573177 0.016805602 -0.15624195 0.38078845 -0.003681696 0.25723624
