,userId,movieId,rating,timestamp,is_test
22,2,1039,5.0,835355604,False
29,2,1150,5.0,835355395,False
37,2,1222,5.0,835355840,False
44,2,1265,5.0,835355697,False
45,2,1266,5.0,835355586,False
83,2,1551,5.0,835355767,False
85,2,1585,5.0,835355817,False
89,2,1589,5.0,835355697,False
90,2,1590,5.0,835355395,False
91,2,1592,5.0,835355395,False
103,3,1356,5.0,1298862167,False
113,3,2197,5.0,1298932770,False
130,3,3959,5.0,1298862874,False
133,3,4949,5.0,1298863174,False
149,4,1112,5.0,949810582,False
150,4,1141,5.0,949919681,False
154,4,1260,5.0,949779042,False
156,4,1296,5.0,949895708,False
158,4,1349,5.0,949810582,False
159,4,1356,5.0,949919763,False
160,4,1357,5.0,949919681,False
161,4,1364,5.0,949949538,False
171,4,1480,5.0,949810582,False
172,4,1541,5.0,949779091,False
173,4,1588,5.0,949949486,False
174,4,1589,5.0,949919938,False
176,4,1594,5.0,949949538,False
177,4,1596,5.0,949949638,False
179,4,1616,5.0,949949444,False
180,4,1858,5.0,949779022,False
181,4,1903,5.0,949919189,False
183,4,1913,5.0,949919247,False
184,4,1919,5.0,949949396,False
187,4,2022,5.0,949949638,False
188,4,2028,5.0,949949638,False
189,4,2030,5.0,949896377,False
190,4,2031,5.0,949896377,False
191,4,2032,5.0,949949538,False
192,4,2033,5.0,949949638,False
193,4,2036,5.0,949896244,False
194,4,2073,5.0,949919372,False
195,4,2079,5.0,949811523,False
196,4,2089,5.0,949895732,False
197,4,2097,5.0,949778771,False
198,4,2125,5.0,949919399,False
199,4,2127,5.0,949896275,False
200,4,2136,5.0,949919372,False
201,4,2194,5.0,949919419,False
202,4,2196,5.0,949779173,False
203,4,2197,5.0,949811490,False
204,4,2198,5.0,949779173,False
205,4,2200,5.0,949896244,False
206,4,2206,5.0,949896159,False
207,4,2208,5.0,949779173,False
208,4,2210,5.0,949778714,False
209,4,2213,5.0,949895708,False
210,4,2214,5.0,949810261,False
211,4,2219,5.0,949779173,False
212,4,2220,5.0,949811523,False
213,4,2222,5.0,949918693,False
214,4,2225,5.0,949779173,False
215,4,2230,5.0,949919372,False
216,4,2240,5.0,949896244,False
217,4,2243,5.0,949919519,False
218,4,2257,5.0,949811602,False
219,4,2258,5.0,949918743,False
221,4,2265,5.0,949919591,False
222,4,2270,5.0,949811523,False
223,4,2278,5.0,949919372,False
224,4,2282,5.0,949949396,False
226,4,2288,5.0,949811490,False
227,4,2291,5.0,949918743,False
231,4,2334,5.0,949982274,False
232,4,2344,5.0,949919247,False
239,4,2380,5.0,949896377,False
240,4,2387,5.0,949810261,False
242,4,2396,5.0,949895772,False
244,4,2580,5.0,949919978,False
246,4,2674,5.0,949896244,False
248,4,2858,5.0,949919738,False
251,4,2953,5.0,949810261,False
252,4,2954,5.0,949810261,False
253,4,2961,5.0,949918743,False
255,4,2968,5.0,949811559,False
256,4,2994,5.0,949896309,False
257,4,3000,5.0,949811602,False
260,4,3005,5.0,949896070,False
262,4,3018,5.0,949778771,False
267,4,3046,5.0,949810618,False
269,4,3064,5.0,949918648,False
270,4,3078,5.0,949949444,False
271,4,3080,5.0,949919306,False
273,4,3085,5.0,949949444,False
274,4,3086,5.0,949896114,False
275,4,3087,5.0,949949638,False
276,4,3091,5.0,949896183,False
278,4,3096,5.0,949949538,False
279,4,3100,5.0,949896114,False
280,4,3102,5.0,949949396,False
282,4,3109,5.0,949919399,False
284,4,3114,5.0,949918927,False
285,4,3115,5.0,949918994,False
287,4,3140,5.0,949896070,False
290,4,3144,5.0,949811603,False
291,4,3161,5.0,949896070,False
292,4,3174,5.0,949896070,False
294,4,3194,5.0,949918764,False
297,4,3268,5.0,949895772,False
298,4,3289,5.0,949919556,False
302,4,3406,5.0,949918994,False
304,4,3454,5.0,949982274,False
305,4,3467,5.0,949918875,False
308,4,3628,5.0,949810582,False
309,4,3640,5.0,949810261,False
313,4,3716,5.0,949811523,False
314,4,3723,5.0,949810582,False
317,4,3788,5.0,949919399,False
318,4,3791,5.0,949811490,False
320,4,3797,5.0,949896070,False
321,4,3804,5.0,949811738,False
324,4,3872,5.0,949896114,False
325,4,3877,5.0,949896377,False
329,4,3918,5.0,949811559,False
330,4,3968,5.0,949896070,False
332,4,3987,5.0,949918807,False
333,4,3991,5.0,949810261,False
335,4,4034,5.0,949949444,False
337,4,4040,5.0,949919419,False
338,4,4060,5.0,949919656,False
342,4,4108,5.0,949919738,False
346,4,4251,5.0,949918970,False
349,4,4265,5.0,949895732,False
374,5,2035,5.0,1163373103,False
379,5,2380,5.0,1163373044,False
392,5,3081,5.0,1163373109,False
443,5,34166,5.0,1163374211,False
457,6,2204,5.0,1108134266,False
487,6,6952,5.0,1108134311,False
489,6,8153,5.0,1108134519,False
508,7,1260,5.0,851869062,False
511,7,1318,5.0,851868187,False
537,7,1720,5.0,851868019,False
541,7,1745,5.0,851868020,False
553,7,2148,5.0,851868019,False
554,7,2196,5.0,851869034,False
556,7,2198,5.0,851869035,False
557,7,2210,5.0,851869034,False
559,7,2223,5.0,851868044,False
560,7,2225,5.0,851868246,False
563,7,2242,5.0,851868289,False
581,7,2405,5.0,851866978,False
585,8,1047,5.0,1154464836,False
586,8,1050,5.0,1154400173,False
591,8,1318,5.0,1154464714,False
596,8,1527,5.0,1154400170,False
597,8,1543,5.0,1154389386,False
602,8,1858,5.0,1154400181,False
621,8,2625,5.0,1154389385,False
625,8,2777,5.0,1154400458,False
627,8,2961,5.0,1154473322,False
634,8,3329,5.0,1154473217,False
637,8,3502,5.0,1154464889,False
638,8,3571,5.0,1154464738,False
647,8,3918,5.0,1154473364,False
650,8,4578,5.0,1154400441,False
657,8,5226,5.0,1154464905,False
666,8,6064,5.0,1154400236,False
678,8,7874,5.0,1154465296,False
707,9,1527,5.0,938628843,False
708,9,1534,5.0,938628337,False
710,9,1608,5.0,938628843,False
712,9,2059,5.0,938629250,False
720,9,2682,5.0,938628690,False
723,9,2784,5.0,938628966,False
740,9,3571,5.0,938628450,False
