,N,hit_rate,Algorithm
0,1,0.11377245508982035,Algorithm 1
1,2,0.18733960650128315,Algorithm 1
2,3,0.23353293413173654,Algorithm 1
3,4,0.2711719418306245,Algorithm 1
4,5,0.31308810949529514,Algorithm 1
5,6,0.3455945252352438,Algorithm 1
6,7,0.3781009409751925,Algorithm 1
7,8,0.39520958083832336,Algorithm 1
8,9,0.41402908468776733,Algorithm 1
9,10,0.43627031650983744,Algorithm 1
10,11,0.4576561163387511,Algorithm 1
11,12,0.47305389221556887,Algorithm 1
12,13,0.48588537211291705,Algorithm 1
13,14,0.5004277159965783,Algorithm 1
14,15,0.5149700598802395,Algorithm 1
15,16,0.5295124037639007,Algorithm 1
16,17,0.5457656116338752,Algorithm 1
17,18,0.5594525235243798,Algorithm 1
18,19,0.572284003421728,Algorithm 1
19,20,0.5876817792985458,Algorithm 1
20,21,0.5979469632164243,Algorithm 1
21,22,0.6065012831479898,Algorithm 1
22,23,0.6167664670658682,Algorithm 1
23,24,0.6287425149700598,Algorithm 1
24,25,0.6372968349016254,Algorithm 1
25,26,0.6467065868263473,Algorithm 1
26,27,0.6586826347305389,Algorithm 1
27,28,0.6655260906757913,Algorithm 1
28,29,0.6655260906757913,Algorithm 1
29,30,0.6757912745936698,Algorithm 1
30,31,0.688622754491018,Algorithm 1
31,32,0.6937553464499572,Algorithm 1
32,33,0.6971770744225834,Algorithm 1
33,34,0.7048759623609923,Algorithm 1
34,35,0.7091531223267751,Algorithm 1
35,36,0.716852010265184,Algorithm 1
36,37,0.7194183062446535,Algorithm 1
37,38,0.7288280581693756,Algorithm 1
38,39,0.7322497861420018,Algorithm 1
39,40,0.7365269461077845,Algorithm 1
40,41,0.7399486740804107,Algorithm 1
41,42,0.7476475620188195,Algorithm 1
42,43,0.7536355859709153,Algorithm 1
43,44,0.7553464499572284,Algorithm 1
44,45,0.756201881950385,Algorithm 1
45,46,0.7613344739093242,Algorithm 1
46,47,0.7630453378956373,Algorithm 1
47,48,0.76732249786142,Algorithm 1
48,49,0.7698887938408896,Algorithm 1
49,50,0.7724550898203593,Algorithm 1
50,51,0.7741659538066724,Algorithm 1
51,52,0.7758768177929855,Algorithm 1
52,53,0.7784431137724551,Algorithm 1
53,54,0.7827202737382378,Algorithm 1
54,55,0.7852865697177075,Algorithm 1
55,56,0.7904191616766467,Algorithm 1
56,57,0.7929854576561164,Algorithm 1
57,58,0.7964071856287425,Algorithm 1
58,59,0.7989734816082121,Algorithm 1
59,60,0.8041060735671514,Algorithm 1
60,61,0.804961505560308,Algorithm 1
61,62,0.8075278015397775,Algorithm 1
62,63,0.8083832335329342,Algorithm 1
63,64,0.8143712574850299,Algorithm 1
64,65,0.8160821214713431,Algorithm 1
65,66,0.8212147134302823,Algorithm 1
66,67,0.8246364414029085,Algorithm 1
67,68,0.825491873396065,Algorithm 1
68,69,0.8280581693755347,Algorithm 1
69,70,0.8306244653550042,Algorithm 1
70,71,0.8323353293413174,Algorithm 1
71,72,0.8366124893071001,Algorithm 1
72,73,0.8408896492728828,Algorithm 1
73,74,0.8451668092386655,Algorithm 1
74,75,0.8468776732249786,Algorithm 1
75,76,0.8520102651839179,Algorithm 1
76,77,0.8545765611633875,Algorithm 1
77,78,0.8554319931565441,Algorithm 1
78,79,0.8562874251497006,Algorithm 1
79,80,0.8571428571428571,Algorithm 1
80,81,0.8579982891360137,Algorithm 1
81,82,0.8597091531223268,Algorithm 1
82,83,0.8614200171086399,Algorithm 1
83,84,0.863130881094953,Algorithm 1
84,85,0.8639863130881095,Algorithm 1
85,86,0.864841745081266,Algorithm 1
86,87,0.8656971770744226,Algorithm 1
87,88,0.8682634730538922,Algorithm 1
88,89,0.8691189050470488,Algorithm 1
89,90,0.8699743370402053,Algorithm 1
90,91,0.8716852010265184,Algorithm 1
91,92,0.8733960650128315,Algorithm 1
92,93,0.874251497005988,Algorithm 1
93,94,0.8759623609923011,Algorithm 1
94,95,0.8768177929854577,Algorithm 1
95,96,0.8768177929854577,Algorithm 1
96,97,0.8802395209580839,Algorithm 1
97,98,0.8819503849443969,Algorithm 1
98,99,0.8819503849443969,Algorithm 1
99,100,0.8828058169375534,Algorithm 1
