,N,hit_rate,Algorithm
0,1,0.1009409751924722,Algorithm 1
1,2,0.17536355859709152,Algorithm 1
2,3,0.23438836612489308,Algorithm 1
3,4,0.2754491017964072,Algorithm 1
4,5,0.30025662959794697,Algorithm 1
5,6,0.32677502138579984,Algorithm 1
6,7,0.3567151411462789,Algorithm 1
7,8,0.38323353293413176,Algorithm 1
8,9,0.40889649272882805,Algorithm 1
9,10,0.43028229255774164,Algorithm 1
10,11,0.4508126603934987,Algorithm 1
11,12,0.4739093242087254,Algorithm 1
12,13,0.49871685201026517,Algorithm 1
13,14,0.5124037639007699,Algorithm 1
14,15,0.523524379811805,Algorithm 1
15,16,0.5363558597091531,Algorithm 1
16,17,0.5594525235243798,Algorithm 1
17,18,0.5671514114627887,Algorithm 1
18,19,0.5799828913601369,Algorithm 1
19,20,0.5885372112917023,Algorithm 1
20,21,0.5996578272027374,Algorithm 1
21,22,0.613344739093242,Algorithm 1
22,23,0.6218990590248076,Algorithm 1
23,24,0.6313088109495295,Algorithm 1
24,25,0.6381522668947819,Algorithm 1
25,26,0.6518391787852865,Algorithm 1
26,27,0.6595380667236954,Algorithm 1
27,28,0.669803250641574,Algorithm 1
28,29,0.6800684345594525,Algorithm 1
29,30,0.6869118905047049,Algorithm 1
30,31,0.6937553464499572,Algorithm 1
31,32,0.6971770744225834,Algorithm 1
32,33,0.7057313943541489,Algorithm 1
33,34,0.7108639863130881,Algorithm 1
34,35,0.7151411462788708,Algorithm 1
35,36,0.7194183062446535,Algorithm 1
36,37,0.7254063301967494,Algorithm 1
37,38,0.7288280581693756,Algorithm 1
38,39,0.7322497861420018,Algorithm 1
39,40,0.739093242087254,Algorithm 1
40,41,0.7450812660393499,Algorithm 1
41,42,0.7493584260051326,Algorithm 1
42,43,0.7536355859709153,Algorithm 1
43,44,0.757912745936698,Algorithm 1
44,45,0.7596236099230111,Algorithm 1
45,46,0.7613344739093242,Algorithm 1
46,47,0.7647562018819504,Algorithm 1
47,48,0.7698887938408896,Algorithm 1
48,49,0.7733105218135158,Algorithm 1
49,50,0.7792985457656116,Algorithm 1
50,51,0.7835757057313943,Algorithm 1
51,52,0.7844311377245509,Algorithm 1
52,53,0.7852865697177075,Algorithm 1
53,54,0.7904191616766467,Algorithm 1
54,55,0.7938408896492729,Algorithm 1
55,56,0.7989734816082121,Algorithm 1
56,57,0.8015397775876818,Algorithm 1
57,58,0.8023952095808383,Algorithm 1
58,59,0.804961505560308,Algorithm 1
59,60,0.806672369546621,Algorithm 1
60,61,0.8118049615055604,Algorithm 1
61,62,0.8143712574850299,Algorithm 1
62,63,0.8177929854576561,Algorithm 1
63,64,0.8229255774165953,Algorithm 1
64,65,0.8246364414029085,Algorithm 1
65,66,0.8280581693755347,Algorithm 1
66,67,0.8306244653550042,Algorithm 1
67,68,0.8340461933276304,Algorithm 1
68,69,0.834901625320787,Algorithm 1
69,70,0.8374679213002566,Algorithm 1
70,71,0.8400342172797263,Algorithm 1
71,72,0.8417450812660393,Algorithm 1
72,73,0.8434559452523525,Algorithm 1
73,74,0.8460222412318221,Algorithm 1
74,75,0.8477331052181352,Algorithm 1
75,76,0.8494439692044482,Algorithm 1
76,77,0.8511548331907614,Algorithm 1
77,78,0.8520102651839179,Algorithm 1
78,79,0.8520102651839179,Algorithm 1
79,80,0.8528656971770744,Algorithm 1
80,81,0.8554319931565441,Algorithm 1
81,82,0.8579982891360137,Algorithm 1
82,83,0.863130881094953,Algorithm 1
83,84,0.8639863130881095,Algorithm 1
84,85,0.864841745081266,Algorithm 1
85,86,0.8656971770744226,Algorithm 1
86,87,0.8699743370402053,Algorithm 1
87,88,0.8716852010265184,Algorithm 1
88,89,0.8725406330196749,Algorithm 1
89,90,0.8733960650128315,Algorithm 1
90,91,0.874251497005988,Algorithm 1
91,92,0.8759623609923011,Algorithm 1
92,93,0.8776732249786142,Algorithm 1
93,94,0.8776732249786142,Algorithm 1
94,95,0.8776732249786142,Algorithm 1
95,96,0.8793840889649273,Algorithm 1
96,97,0.8802395209580839,Algorithm 1
97,98,0.8802395209580839,Algorithm 1
98,99,0.8845166809238666,Algorithm 1
99,100,0.8879384088964928,Algorithm 1
0,1,0.05902480752780154,Algorithm 2
1,2,0.08468776732249786,Algorithm 2
2,3,0.09580838323353294,Algorithm 2
3,4,0.1086398631308811,Algorithm 2
4,5,0.11633875106929,Algorithm 2
5,6,0.12147134302822926,Algorithm 2
6,7,0.1317365269461078,Algorithm 2
7,8,0.13686911890504705,Algorithm 2
8,9,0.14029084687767324,Algorithm 2
9,10,0.14798973481608213,Algorithm 2
10,11,0.1497005988023952,Algorithm 2
11,12,0.15568862275449102,Algorithm 2
12,13,0.16167664670658682,Algorithm 2
13,14,0.165098374679213,Algorithm 2
14,15,0.17023096663815226,Algorithm 2
15,16,0.1727972626176219,Algorithm 2
16,17,0.17621899059024806,Algorithm 2
17,18,0.1770744225834046,Algorithm 2
18,19,0.18135158254918735,Algorithm 2
19,20,0.1847733105218135,Algorithm 2
20,21,0.1864841745081266,Algorithm 2
21,22,0.1881950384944397,Algorithm 2
22,23,0.1899059024807528,Algorithm 2
23,24,0.19076133447390933,Algorithm 2
24,25,0.19161676646706588,Algorithm 2
25,26,0.1941830624465355,Algorithm 2
26,27,0.1958939264328486,Algorithm 2
27,28,0.19674935842600513,Algorithm 2
28,29,0.19674935842600513,Algorithm 2
29,30,0.19760479041916168,Algorithm 2
30,31,0.19760479041916168,Algorithm 2
31,32,0.19846022241231823,Algorithm 2
32,33,0.19931565440547477,Algorithm 2
33,34,0.20017108639863132,Algorithm 2
34,35,0.20017108639863132,Algorithm 2
35,36,0.20102651839178784,Algorithm 2
36,37,0.20273738237810093,Algorithm 2
37,38,0.20359281437125748,Algorithm 2
38,39,0.20359281437125748,Algorithm 2
39,40,0.20530367835757057,Algorithm 2
40,41,0.20615911035072712,Algorithm 2
41,42,0.20701454234388367,Algorithm 2
42,43,0.20701454234388367,Algorithm 2
43,44,0.20701454234388367,Algorithm 2
44,45,0.20701454234388367,Algorithm 2
45,46,0.20701454234388367,Algorithm 2
46,47,0.20786997433704021,Algorithm 2
47,48,0.20872540633019676,Algorithm 2
48,49,0.20958083832335328,Algorithm 2
49,50,0.21043627031650983,Algorithm 2
50,51,0.21043627031650983,Algorithm 2
51,52,0.21043627031650983,Algorithm 2
52,53,0.21043627031650983,Algorithm 2
53,54,0.21129170230966637,Algorithm 2
54,55,0.21129170230966637,Algorithm 2
55,56,0.21129170230966637,Algorithm 2
56,57,0.21129170230966637,Algorithm 2
