,userId,movieId,rating,timestamp,is_test
12,u1,m1953,4.0,1260759191,False
13,u1,m2105,4.0,1260759139,False
20,u2,m10,4.0,835355493,False
21,u2,m17,5.0,835355681,False
22,u2,m39,5.0,835355604,False
23,u2,m47,4.0,835355552,False
24,u2,m50,4.0,835355586,False
27,u2,m110,4.0,835355532,False
30,u2,m153,4.0,835355441,False
37,u2,m222,5.0,835355840,False
42,u2,m253,4.0,835355511,False
43,u2,m261,4.0,835355681,False
44,u2,m265,5.0,835355697,False
45,u2,m266,5.0,835355586,False
47,u2,m273,4.0,835355779,False
49,u2,m296,4.0,835355395,False
51,u2,m314,4.0,835356044,False
55,u2,m349,4.0,835355441,False
56,u2,m350,4.0,835355697,False
68,u2,m454,4.0,835355604,False
70,u2,m468,4.0,835355790,False
72,u2,m480,4.0,835355643,False
75,u2,m500,4.0,835355731,False
76,u2,m508,4.0,835355860,False
77,u2,m509,4.0,835355719,False
78,u2,m515,4.0,835355817,False
79,u2,m527,4.0,835355731,False
80,u2,m537,4.0,835356199,False
83,u2,m551,5.0,835355767,False
85,u2,m585,5.0,835355817,False
89,u2,m589,5.0,835355697,False
90,u2,m590,5.0,835355395,False
91,u2,m592,5.0,835355395,False
94,u2,m661,4.0,835356141,False
95,u2,m720,4.0,835355978,False
97,u3,m110,4.0,1298922049,False
100,u3,m296,4.5,1298862418,False
101,u3,m318,5.0,1298862121,False
103,u3,m356,5.0,1298862167,False
111,u3,m778,4.0,1298863157,False
115,u3,m1235,4.0,1298861628,False
117,u3,m1378,4.0,1298861658,False
119,u3,m1721,4.5,1298923236,False
120,u3,m1884,4.0,1298863143,False
121,u3,m2028,4.0,1298921862,False
122,u3,m2318,4.0,1298861753,False
128,u3,m2841,4.0,1298861733,False
129,u3,m2858,4.0,1298921825,False
130,u3,m2959,5.0,1298862874,False
132,u3,m3510,4.0,1298861633,False
133,u3,m3949,5.0,1298863174,False
143,u3,m48783,4.5,1298862361,False
144,u3,m50068,4.5,1298862467,False
146,u3,m84236,4.0,1298922130,False
147,u4,m10,4.0,949810645,False
148,u4,m34,5.0,949919556,False
149,u4,m112,5.0,949810582,False
150,u4,m141,5.0,949919681,False
151,u4,m153,4.0,949811346,False
154,u4,m260,5.0,949779042,False
155,u4,m289,4.0,949778802,False
156,u4,m296,5.0,949895708,False
158,u4,m349,5.0,949810582,False
159,u4,m356,5.0,949919763,False
160,u4,m357,5.0,949919681,False
161,u4,m364,5.0,949949538,False
162,u4,m367,4.0,949895887,False
166,u4,m434,4.0,949810688,False
168,u4,m440,4.0,949919802,False
169,u4,m442,4.0,949920028,False
170,u4,m464,4.0,949811315,False
171,u4,m480,5.0,949810582,False
172,u4,m541,5.0,949779091,False
173,u4,m588,5.0,949949486,False
174,u4,m589,5.0,949919938,False
176,u4,m594,5.0,949949538,False
177,u4,m596,5.0,949949638,False
178,u4,m610,4.0,949982238,False
179,u4,m616,5.0,949949444,False
180,u4,m858,5.0,949779022,False
181,u4,m903,5.0,949919189,False
182,u4,m910,4.0,949919306,False
183,u4,m913,5.0,949919247,False
184,u4,m919,5.0,949949396,False
185,u4,m1011,4.0,949919454,False
186,u4,m1016,4.0,949919322,False
188,u4,m1028,5.0,949949638,False
189,u4,m1030,5.0,949896377,False
190,u4,m1031,5.0,949896377,False
191,u4,m1032,5.0,949949538,False
192,u4,m1033,5.0,949949638,False
193,u4,m1036,5.0,949896244,False
194,u4,m1073,5.0,949919372,False
195,u4,m1079,5.0,949811523,False
196,u4,m1089,5.0,949895732,False
197,u4,m1097,5.0,949778771,False
198,u4,m1125,5.0,949919399,False
199,u4,m1127,5.0,949896275,False
200,u4,m1136,5.0,949919372,False
201,u4,m1194,5.0,949919419,False
202,u4,m1196,5.0,949779173,False
203,u4,m1197,5.0,949811490,False
204,u4,m1198,5.0,949779173,False
205,u4,m1200,5.0,949896244,False
206,u4,m1206,5.0,949896159,False
207,u4,m1208,5.0,949779173,False
208,u4,m1210,5.0,949778714,False
209,u4,m1213,5.0,949895708,False
210,u4,m1214,5.0,949810261,False
211,u4,m1219,5.0,949779173,False
212,u4,m1220,5.0,949811523,False
213,u4,m1222,5.0,949918693,False
214,u4,m1225,5.0,949779173,False
215,u4,m1230,5.0,949919372,False
216,u4,m1240,5.0,949896244,False
217,u4,m1243,5.0,949919519,False
218,u4,m1257,5.0,949811602,False
219,u4,m1258,5.0,949918743,False
220,u4,m1259,4.0,949811559,False
221,u4,m1265,5.0,949919591,False
222,u4,m1270,5.0,949811523,False
223,u4,m1278,5.0,949919372,False
224,u4,m1282,5.0,949949396,False
225,u4,m1285,4.0,949811559,False
226,u4,m1288,5.0,949811490,False
227,u4,m1291,5.0,949918743,False
228,u4,m1298,4.0,949918927,False
229,u4,m1307,4.0,949811602,False
230,u4,m1332,4.0,949896275,False
231,u4,m1334,5.0,949982274,False
232,u4,m1344,5.0,949919247,False
233,u4,m1356,4.0,949810582,False
234,u4,m1371,4.0,949810302,False
236,u4,m1374,4.0,949918787,False
239,u4,m1380,5.0,949896377,False
240,u4,m1387,5.0,949810261,False
241,u4,m1388,4.0,949810302,False
242,u4,m1396,5.0,949895772,False
